Array size,Selection - 0 to 5,Bubble (simple) - 0 to 5,Bubble (Iverson 1) - 0 to 5,Bubble (Iverson 1-2) - 0 to 5,Insertion (simple) - 0 to 5,Insertion (binary) - 0 to 5,Count (stable) - 0 to 5,Radix - 0 to 5,Merge - 0 to 5,Quick (Hoare) - 0 to 5,Quick (Lomuto) - 0 to 5,Heap - 0 to 5,Selection - 0 to 4000,Bubble (simple) - 0 to 4000,Bubble (Iverson 1) - 0 to 4000,Bubble (Iverson 1-2) - 0 to 4000,Insertion (simple) - 0 to 4000,Insertion (binary) - 0 to 4000,Count (stable) - 0 to 4000,Radix - 0 to 4000,Merge - 0 to 4000,Quick (Hoare) - 0 to 4000,Quick (Lomuto) - 0 to 4000,Heap - 0 to 4000,Selection - half sorted,Bubble (simple) - half sorted,Bubble (Iverson 1) - half sorted,Bubble (Iverson 1-2) - half sorted,Insertion (simple) - half sorted,Insertion (binary) - half sorted,Count (stable) - half sorted,Radix - half sorted,Merge - half sorted,Quick (Hoare) - half sorted,Quick (Lomuto) - half sorted,Heap - half sorted,Selection - reversed,Bubble (simple) - reversed,Bubble (Iverson 1) - reversed,Bubble (Iverson 1-2) - reversed,Insertion (simple) - reversed,Insertion (binary) - reversed,Count (stable) - reversed,Radix - reversed,Merge - reversed,Quick (Hoare) - reversed,Quick (Lomuto) - reversed,Heap - reversed 
1100,4894400,4880600,10643200,10417900,5538000,1727100,22300,43800,492900,116800,2435400,323900,5010300,11125300,11545700,11627500,4376800,2732900,55400,80500,516400,181100,209900,396400,4845100,6372400,6443200,6433900,2962700,971400,27300,80600,474800,75300,342700,399700,6609500,13809300,14134500,14279700,5896900,7258800,37700,80400,435800,102700,4877700,355500,
1200,5792500,5800600,12589600,12384700,4786500,2032000,23600,47100,600600,130000,2721300,359000,5844500,13331500,13777700,14479500,5202200,2557100,55300,87500,623500,204100,217700,438200,5791700,8014600,7922100,7967400,3627800,719700,28100,87400,583900,96900,360500,442700,7366600,16425800,17066300,16955900,7058000,5012400,40400,86900,540000,93400,5871000,395800,
1300,6787200,6737700,14702900,14194900,5474200,2291500,25300,49600,583700,135800,3167900,386100,6732600,15165500,16189900,15964600,6134300,2944100,55700,92000,600600,214200,263800,469300,6828700,9131100,9244800,9179800,4267500,791900,26700,92100,551100,116100,374000,476100,8576900,18894200,19801400,19708400,8159000,5792300,42500,91800,504100,86800,6757000,422600,
1400,7785600,7938400,16719800,16401700,6148500,2768500,49500,52300,820700,146100,3609000,418300,7755300,17729100,19004300,18681300,6991000,3527100,53700,98800,647600,231400,244400,512100,7783100,10752700,11202000,10870400,4823400,1029200,28400,98600,635200,101200,360000,521300,10067800,21727800,22881600,23082200,9304400,7118200,46400,216100,546400,95100,7723200,461900,
1500,9252600,9147400,19331000,18811400,7456500,3132000,30600,57100,674500,161300,4272500,474500,9694100,20944200,21492500,21235900,8112400,4022600,56000,108100,711800,256000,304800,572600,9235400,12123400,12250800,12521300,5707900,1111000,32400,107300,655400,114700,672600,580600,13048800,25043500,25856000,26739300,10922000,7659800,50700,107500,597700,104300,8759100,518400,
1600,10316600,10340100,30991000,22705100,8460800,3593700,31900,61000,705900,176900,4853500,492600,10369900,23282000,24799700,25012900,9138900,4495400,63400,114400,753200,273200,345400,605500,10221800,13730600,13799100,14177800,6326600,1200900,34500,114300,687100,125100,539700,616800,13315300,28738700,31887100,30144600,12523700,8789300,54000,114100,626600,111200,9955300,599400,
1700,11655400,11405800,25183300,24741200,9313800,3976400,32700,62400,728800,181300,5374600,513700,11793900,25889300,28468800,27554500,9969500,5039900,66200,119700,774600,288300,300100,635400,11309300,15684400,16201200,16144600,7049200,1446500,36200,118200,706100,125700,711300,644000,14649000,31763700,33707200,34688500,14000400,9588100,55700,118300,644400,116200,11240700,573100,
1800,12989700,13073700,28684000,27520700,15759700,4528000,35300,66000,784700,202600,6097000,557800,12849500,29209600,31747200,37997700,11524200,5676300,65100,125100,839000,313100,355300,693300,12753400,17454000,17682700,23229700,8031700,1523700,37100,124800,764800,135100,612800,704200,16488800,36826100,37804700,44766800,15689800,11026000,60200,126000,700200,125100,12948500,632100,
1900,14228200,14247800,31020000,30115400,11467700,4956100,35800,69700,832400,207500,6623400,576200,14388800,32083600,33677400,33584200,12414900,6160200,64600,132000,882300,438900,428700,717900,14592200,19223600,19365700,19561000,8721200,1659900,38200,132000,804700,140000,629800,955500,19333300,40401300,41457800,41754900,17143400,12113400,62200,131700,735800,128900,14190000,658300,
2000,15771400,16121300,34568700,33844000,12893300,5564800,38100,73300,850700,214800,7318100,607500,15866300,36186700,37709400,38897900,13996500,6890300,73700,138100,914400,345600,378500,762700,15771600,21343100,21612700,22393300,9734800,1892800,40300,138000,832000,150300,897400,772400,20221100,44144400,46294900,47092300,20288000,13408100,65700,138000,760300,137600,16417800,691800,
2100,17399500,17406200,38025100,37365100,14030800,6267100,39600,75800,910400,225400,8142100,649500,19220100,39140300,41376400,43468100,15354600,7580800,73600,144600,975100,366200,431800,803300,17541000,25029600,24214400,24157300,10816300,2174000,42300,144700,888100,166700,574500,814000,22603500,49845400,51114600,51088200,20942400,14729200,68800,144500,814500,144500,17246300,730900,
2200,19130400,19143500,41237600,40504700,15371400,6550800,41200,79900,965500,242300,9107400,800400,19517200,42845600,45453900,46064000,17003800,8549100,76000,154700,1034000,383800,437100,850200,18914100,26032200,26527600,26429300,15859600,2295400,44200,151500,942800,165600,732900,862300,24451700,52931100,56297500,56243000,31757000,16281700,72000,151100,861500,152200,19720100,809900,
2300,20946800,20874400,45630500,44624200,16735000,7134100,44200,83300,1019300,254500,9775800,727900,21236700,46594900,49802100,50075600,18128700,9042800,80200,157900,1081300,407800,472900,893200,21113800,27695900,28113800,28219200,12814300,2335500,49000,157600,1016400,172900,673200,906800,26870800,58561200,60729500,61631900,25707300,17599000,74700,157800,887000,158800,21502500,817400,
2400,22915400,22749900,49206300,50369100,18309500,8083200,45500,86800,1052700,267000,10701700,761900,22926300,51139100,54029700,54601800,20145200,9777800,85500,164900,1131300,421200,492900,938700,22975900,30821300,37911600,31237200,14060000,2571800,48500,164700,1023200,180100,850100,982300,29202500,69911900,73033000,66997600,27850300,19348600,79100,164700,933000,166000,22239200,920600,
2500,24748500,25058400,53450500,53443000,20321600,8611800,47000,90700,1121800,278700,11735400,902000,24811300,54878300,57653600,58226600,21663200,10546600,80300,171100,1190500,439700,503400,1015100,24954400,32627000,32879900,33047000,15296300,2561500,49900,170800,1079200,183100,1108800,1224400,32868100,70682400,71808100,75057300,29961800,20849500,82100,170900,985900,173500,25516400,1038600,
2600,26577800,29515500,58548300,56751400,21423600,9266000,49300,93200,1142700,288400,12613100,835300,27269000,59428500,63945700,62629500,23333900,11780600,83300,278700,1227700,458000,539600,1173900,26702300,36763900,36752800,37716000,16606300,3125600,52100,257400,1129500,195600,697900,1043200,34410000,75284600,77544400,79321700,32377000,23331800,84300,178200,1014200,182300,25734700,963300,
2700,28720500,28980500,62962500,61110000,22984300,9835400,51000,97300,1189900,303700,13431900,867200,28977400,63120000,67276300,67545300,25405800,12253100,84400,184500,1286500,473500,576000,1161700,28598700,39455100,40096600,40018800,18680300,3448300,55000,184500,1457600,213400,678900,1277700,37078400,80282900,83688600,85275900,35238800,24335100,86800,307400,1061500,189500,28200400,989900,
2800,31302400,30762600,65963300,65515800,25020800,10174700,52300,100300,1231600,312100,14832000,912400,31519500,68127900,73143700,75166800,27546100,13575500,90300,190600,1399400,493500,554500,1123500,31269300,42011800,42638800,45852300,19098300,3563400,55800,194300,1206800,217700,873100,1218100,40258400,86693200,90281200,92554500,37358600,26296000,90900,190700,1100900,218200,30535000,1016400,
2900,33273200,33521600,72612000,72186200,26980200,11635900,54900,103900,1321500,320200,15810200,936500,33305500,73524000,78605800,78935200,29311300,14441700,92200,201700,1407300,515600,675900,1162700,33062600,43908600,44582400,45347600,20187400,3740900,58000,197500,1253400,219400,971000,1181000,42568000,93313700,96647400,98763600,40081000,28183500,93800,197100,1145200,204600,32243900,1059100,
3000,36005300,35551100,77130900,75423800,28635600,12053700,56400,109700,1401700,332800,19079000,1010800,36277700,79303200,86094500,85403700,31742900,15727800,94600,208500,1426100,533500,652900,1246300,35603800,47968400,48494900,48616400,22037800,4124000,60000,259600,1294100,232300,1003700,1307300,45588700,99304200,104356900,105556300,43128200,29942000,97800,208900,1182800,212100,35579500,1099000,
3100,38242300,37975900,83281500,80839000,31620100,13837200,58100,110900,1399900,351200,17783600,1007700,38370300,83725800,90229700,90993800,34456300,16768700,98400,214600,1465300,555900,700600,1257200,37976500,51442400,50785100,51453200,23654700,4031200,66100,271200,1317700,232500,1744300,1271100,48492300,107956300,110958200,112220300,46112700,33810800,100100,211000,1208900,219900,37692300,1145100,
3200,40374200,40646400,91355100,88285200,32774900,14088800,60200,113800,1386100,365900,18931100,1036000,40936600,87714200,95390800,96014200,36050400,17153300,100500,218700,1572400,578800,690400,1299900,41229600,53551200,54349000,54662100,24599800,4422900,63000,217400,1358700,241500,1349400,1375300,53073000,113061700,117310800,132544500,48824000,34161300,103900,217200,1323000,227500,38151100,1183800,
3300,42976000,43613000,93441300,91993800,35055500,14743800,61500,117000,1458800,374200,20106400,1091200,43514400,93504900,103680700,101960000,38316900,18490900,96000,223600,1645100,593900,675100,1346100,42742900,56410500,58203200,57269900,25977100,4585200,65700,223700,1419300,249500,2814500,1362700,55757700,119923400,125805600,127699800,52015000,36721800,107500,223500,1297200,235600,43455300,1224100,
3400,46389000,46479900,104449700,98746200,37303000,15943300,65800,123400,1628800,383600,21100700,1145200,46816400,99391000,118420200,109189500,41464000,19680400,106400,236100,1611600,612700,761800,1426000,46192100,64744700,62519100,62978600,28678600,5004000,69400,235600,1456800,259300,982400,1454600,59256800,132465300,135536800,139519500,57572000,39194700,115100,235600,1367000,241300,45374900,1309400,
3500,49393200,55259200,104648500,116089300,39664400,16879500,67200,127800,1569400,615700,23259900,1187200,49479800,106544200,118784000,138630800,44038700,21411600,102300,247700,2042400,900300,798400,1471600,49095200,64943000,65508800,85806700,30345100,7549600,71200,266000,2539000,426400,898200,1488400,63298400,137487100,141265900,149409100,70030100,41635800,115100,242800,2415200,392800,54572400,1345300,
3600,52135100,54888800,114843100,115643000,42224000,18188400,69200,130500,1644300,432900,24503900,1217300,52949800,115488100,126264400,132184400,47982000,22240300,106000,249300,1780200,669000,835500,1575100,52020300,70855300,75697100,71037300,37290000,5564100,73900,249000,1597700,279000,1312000,1548100,67294600,146182000,153264600,160595800,63743700,43987600,119100,251100,1458600,263500,51613000,1400400,
3700,68773000,55108900,121078800,118659300,43541600,18784800,70300,232000,1679900,435000,30601000,1248400,68422600,121429500,144226300,129002600,48410300,23322500,108500,493500,1929200,705700,844100,1567300,55153200,73128200,81457000,74834500,33451100,5932800,75200,462600,1649900,290400,1795000,1615400,75658400,154752300,167020800,162560300,76909800,46499700,122200,472400,1503200,269000,65741800,1431400,
3800,71210500,58268400,135255100,122857300,46462500,19765800,72200,137700,1777100,452500,39988700,1295700,58407300,124434800,148424800,168276200,61965100,24803000,109800,262700,1906300,838900,1228300,1619100,58194100,77061200,79942700,82904300,39457700,6382400,78700,262500,1706500,465900,1491900,1640300,75000800,163254300,177730300,235594600,76864400,49257600,126500,264900,1547600,468800,74700700,1482500,
3900,69955300,60870400,133982600,144535900,52486100,20849800,74100,141000,1752100,459000,28359300,1341600,63567700,131956900,144809400,157863900,64139800,26096800,108300,274800,1907400,738700,917500,1659400,61150200,83569300,84682900,86226900,40010700,7198800,78500,269900,1741100,326100,1054500,1688900,78797000,190726600,185644500,183769700,78926800,52783400,129600,269600,1569100,315100,64335800,1522300,
4000,65174500,64456100,139391700,136008900,52005100,22115300,77000,152300,1794600,478500,29967400,1374200,67677800,142864000,150989600,159958300,60614700,27211900,116800,277200,1986100,754900,997000,1711600,64702200,91601500,90695000,89779700,41878300,7367600,80800,277400,1775600,332200,1981600,1730800,84804200,180884600,207437600,189045800,79798800,54456900,132200,277500,1621400,294500,62450600,1568100,
4100,76699700,71174600,143863800,148466000,54297700,24573000,76900,148800,1862700,485600,31464700,1507300,68587500,143754500,185028300,168238400,59700900,33553100,117700,283200,2026600,769500,955500,1844000,71618500,86507800,101404900,95462100,42694900,10346000,118500,282800,1835800,331600,1706500,1883700,104367700,195280600,208497200,212837200,85480700,57077700,146600,283700,1668200,498800,68884100,1826600,
